bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,27,1.28,0.3404255319148936,16,0,0
bv,27,0.9354838709677419,0.625,15,0,0
ghz,27,0.7894736842105263,0.4666666666666667,16,0,0
hamsim_1,27,0.6304347826086957,0.5,16,0,0
qaoa_pl1,27,0.4117647058823529,0.17391304347826086,16,0,0
qsvm,27,0.5257731958762887,0.4827586206896552,16,0,0
twolocal_1,27,0.3950617283950617,0.30434782608695654,16,0,0
vqe_1,27,0.9166666666666666,0.4666666666666667,16,0,0
wstate,27,0.6307692307692307,0.4666666666666667,16,0,0
