bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,24,7,24,24,0.08145015964271154,20.400446584186146e-03
bv,11,14,10,10,0.250023245,0.040701175655478
ghz,8,12,7,10,0.47355922153528945,0.021246132632566432
hamsim_1,12,38,22,13,0.28575587475255637,0.058515634085506
qaoa_pl1,5,13,8,5,0.1736933470789158,0.037913291669444
qsvm,12,73,44,14,0.2507875200000001,0.019137874194826539
twolocal_1,12,38,22,14,0.20078785737923752,0.025532044624261
vqe_1,12,17,11,13,0.2995094849982541,0.092450844639433
wstate,12,41,22,14,0.4525312538680499,0.023813603896743
