bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,0,0,0.2733802283997647,1.1254639427992514,0.07590502099992591,16
bv,0,0,0.07115868879991467,0.14229003799991918,0.02789421499983291,7
ghz,0,0,0.04145530000096187,0.35362842079775875,0.028324741000687936,16
hamsim_1,0,0,0.42737860960041874,2.464154846002202,0.04132186000060756,16
qaoa_pl1,0,0,0.13056845659957617,0.129975555800047,0.02735826000207453,7
qsvm,0,0,0.14911951739995857,1.3563769912034331,0.06206358799681766,16
twolocal_1,0,0,0.06414797080069548,0.6778520535954158,0.04271993799920892,16
vqe_1,0,0,0.0852184652008873,0.6058853247996011,0.07618119500330067,16
wstate,0,0,0.06024816499921144,0.6499905143988144,0.05409582199717988,16
