bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,12,7,12,12,0.33843437401946186,0.022033791112732105
bv,12,9,5,11,0.45629882812499994,0.09802975448134044
ghz,12,13,11,12,0.5149662527143917,0.00999093653012554
hamsim_1,12,15,11,12,0.3823679947039056,0.0049483890683590355
qaoa_pl1,12,21,22,12,0.5265615827475301,0.06738936993086611
qsvm,12,27,22,12,0.2248924158838174,0.005443324331382963
twolocal_1,12,15,12,12,0.6502688273706022,0.1792236239900535
vqe_1,12,14,11,12,0.04162597656250001,0.0033622339193013695
wstate,12,25,22,12,0.5195312500000001,0.019548698260977174
