bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,27,1.2705882352941176,0.6554054054054054,24,0,0
bv,27,0.7142857142857143,0.47619047619047616,23,0,0
ghz,27,0.27586206896551724,0.23333333333333334,24,0,0
hamsim_1,27,0.3181818181818182,0.25,24,0,0
qaoa_pl1,27,0.2459016393442623,0.047619047619047616,24,0,0
qsvm,27,0.4098360655737705,0.4583333333333333,24,0,0
twolocal_1,27,0.4074074074074074,0.4230769230769231,24,0,0
vqe_1,27,0.42857142857142855,0.2692307692307692,24,0,0
wstate,27,0.5377358490566038,0.4,24,0,0
