bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,16,7,16,16,0.021418706679305535,0.004535064405713458
bv,16,14,10,15,0.022216796875000038,0.037436686155105696
ghz,16,17,15,16,0.1637304934839983,0.09193724179485746
hamsim_1,16,19,15,16,0.12648845935719197,0.08382036417862565
qaoa_pl1,16,27,30,16,0.05346168609491397,0.024481250148601044
qsvm,16,35,30,16,0.007399525911400327,0.0022094380923819304
twolocal_1,16,19,16,16,0.44614557107546726,0.10980949629177635
vqe_1,16,18,15,16,0.01489231849925921,0.0048445784069108
wstate,16,33,30,16,0.19958496093750017,0.07787953534091994
