bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,4,4,2,4,0.9965328854911194,0.00041171574398343557
bv,4,6,2,3,0.9442138671874999,0.0023014058170476954
ghz,4,5,3,4,0.9365361219980484,0.0016428112629475243
hamsim_1,4,7,3,4,0.99804397206932,0.0003169238271009603
qaoa_pl1,4,12,6,4,0.9782175848977556,0.0011734860427313576
qsvm,4,11,6,4,0.942485682029695,0.0020008634207864823
twolocal_1,4,7,4,4,0.9881183382453705,0.0005047315163484242
vqe_1,4,6,3,4,0.9144287109375,0.0027996447610302397
wstate,4,9,6,4,0.9442138671874999,0.004347211597390354
