bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,8,6,8,8,0.8842355728425215,0.09781457360256336
bv,8,8,4,7,0.792724609375,0.04412603896865749
ghz,8,9,7,8,0.8001735702854296,0.006756782756859781
hamsim_1,8,11,7,8,0.8686502908266259,0.004306279454882051
qaoa_pl1,8,18,14,8,0.8679780373766385,0.0626832123854123
qsvm,8,19,14,8,0.44010302828738357,0.0038918088745753805
twolocal_1,8,11,8,8,0.760852373928801,0.13485314094096373
vqe_1,8,10,7,8,0.7540283203125001,0.0056793007909209615
wstate,8,17,14,8,0.8284912109374999,0.005771021687248872
