bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,24,7,24,24,2.681331716432945e-06,9.400446584186146e-07
bv,24,14,10,23,0.006835937500000015,0.0029686937828764547
ghz,24,25,23,24,0.0073882006690818,0.010033985064705854
hamsim_1,24,27,23,24,0.00019333814400390262,0.0020366390154595592
qaoa_pl1,24,33,46,24,8.5830688476569e-06,7.693251623128614e-06
qsvm,24,51,46,24,3.725290298461914e-07,1.3687642643933807e-07
twolocal_1,24,27,24,24,0.04225953183985569,0.015050961245839479
vqe_1,24,26,23,24,0.018908320403482184,0.01044277684375218
wstate,24,49,46,24,0.05664062500000011,0.043565223685322674
