bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,24,7,24,24,7.6286942945e-05,6.5795384186146e-06
bv,11,14,10,10,0.290578545,0.050701568478
ghz,8,12,7,10,0.4251479153528945,0.0157904632566432
hamsim_1,12,38,22,13,0.234685475255637,0.047886085506
qaoa_pl1,5,13,8,5,0.14568870789158,0.0315178669444
qsvm,24,51,46,24,3.3456853461914e-05,1.005767643785807e-07
twolocal_1,12,38,22,14,0.1907875438452,0.012432057732
vqe_1,12,17,11,13,0.2595065432541,0.07245065886431
wstate,24,49,46,24,0.0689406752455011,0.0331859673322674
