num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.946465922136225,nan,19,nan,28,nan,nan,nan,0,1,1.0,nan,nan,nan
22,nan,nan,0.9411785669799106,nan,21,nan,30,nan,nan,nan,0,1,1.0,nan,nan,nan
24,nan,nan,0.9359207492045979,nan,23,nan,32,nan,nan,nan,0,1,1.0,nan,nan,nan
26,nan,nan,0.9306923038021062,nan,25,nan,34,nan,nan,nan,0,1,1.0,nan,nan,nan
28,nan,nan,0.9254930666860532,nan,27,nan,36,nan,nan,nan,0,1,1.0,nan,nan,nan
30,nan,nan,0.9203228746867136,nan,29,nan,38,nan,nan,nan,0,1,1.0,nan,nan,nan
40,nan,nan,0.8949019440234098,nan,39,nan,48,nan,nan,nan,0,1,1.0,nan,nan,nan
50,nan,nan,0.8701831840151679,nan,49,nan,58,nan,nan,nan,0,1,1.0,nan,nan,nan
60,nan,nan,0.8461471994779438,nan,59,nan,68,nan,nan,nan,0,1,1.0,nan,nan,nan
70,nan,nan,0.8227751309566672,nan,69,nan,78,nan,nan,nan,0,1,1.0,nan,nan,nan
80,nan,nan,0.8000486399274616,nan,79,nan,88,nan,nan,nan,0,1,1.0,nan,nan,nan
90,nan,nan,0.7779498944086232,nan,89,nan,98,nan,nan,nan,0,1,1.0,nan,nan,nan
100,nan,nan,0.7564615549690339,nan,99,nan,108,nan,nan,nan,0,1,1.0,nan,nan,nan
150,nan,nan,0.6576018643635299,nan,149,nan,158,nan,nan,nan,0,1,1.0,nan,nan,nan
200,nan,nan,0.5716618500620202,nan,199,nan,208,nan,nan,nan,0,1,1.0,nan,nan,nan
250,nan,nan,0.49695307833810465,nan,249,nan,258,nan,nan,nan,0,1,1.0,nan,nan,nan
300,nan,nan,0.43200777180237604,nan,299,nan,308,nan,nan,nan,0,1,1.0,nan,nan,nan
350,nan,nan,0.375549972487903,nan,349,nan,358,nan,nan,nan,0,1,1.0,nan,nan,nan
400,nan,nan,0.32647047354551506,nan,399,nan,408,nan,nan,nan,0,1,1.0,nan,nan,nan
450,nan,nan,0.2838050270406205,nan,449,nan,458,nan,nan,nan,0,1,1.0,nan,nan,nan
500,nan,nan,0.24671539970764822,nan,499,nan,508,nan,nan,nan,0,1,1.0,nan,nan,nan
550,nan,nan,0.2144729044711132,nan,549,nan,558,nan,nan,nan,0,1,1.0,nan,nan,nan
600,nan,nan,0.18644408418275696,nan,599,nan,608,nan,nan,nan,0,1,1.0,nan,nan,nan
650,nan,nan,0.1620782663081285,nan,649,nan,658,nan,nan,nan,0,1,1.0,nan,nan,nan
700,nan,nan,0.14089674405382932,nan,699,nan,708,nan,nan,nan,0,1,1.0,nan,nan,nan
750,nan,nan,0.12248337138077367,nan,749,nan,758,nan,nan,nan,0,1,1.0,nan,nan,nan
800,nan,nan,0.10647638712693723,nan,799,nan,808,nan,nan,nan,0,1,1.0,nan,nan,nan
850,nan,nan,3.6774663707932516e-10,nan,20115,nan,18816,nan,nan,nan,0,1,1.0,nan,nan,nan
900,nan,nan,6.831154240103163e-11,nan,21689,nan,20284,nan,nan,nan,0,1,1.0,nan,nan,nan
950,nan,nan,9.766149769436202e-12,nan,23547,nan,21411,nan,nan,nan,0,1,1.0,nan,nan,nan
1000,nan,nan,2.4206684963370144e-12,nan,24849,nan,22998,nan,nan,nan,0,1,1.0,nan,nan,nan
