num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.9815652531825475,nan,6,nan,15,nan,nan,nan,2,3,48,nan,nan,nan
22,nan,nan,0.9788196959920605,nan,7,nan,16,nan,nan,nan,2,3,48,nan,nan,nan
24,nan,nan,0.9788196959920604,nan,7,nan,16,nan,nan,nan,2,3,48,nan,nan,nan
26,nan,nan,0.9760818184583893,nan,8,nan,17,nan,nan,nan,2,3,48,nan,nan,nan
28,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,2,3,48,nan,nan,nan
30,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,2,3,48,nan,nan,nan
40,nan,nan,0.9625068759090633,nan,13,nan,22,nan,nan,nan,2,3,48,nan,nan,nan
50,nan,nan,0.9544527006980118,nan,16,nan,25,nan,nan,nan,2,3,48,nan,nan,nan
60,nan,nan,0.9464659221362245,nan,19,nan,28,nan,nan,nan,2,3,48,nan,nan,nan
70,nan,nan,0.9359207492045986,nan,23,nan,32,nan,nan,nan,2,3,48,nan,nan,nan
80,nan,nan,0.928089044427806,nan,26,nan,35,nan,nan,nan,2,3,48,nan,nan,nan
90,nan,nan,0.9203228746867127,nan,29,nan,38,nan,nan,nan,2,3,48,nan,nan,nan
100,nan,nan,0.9100689779118586,nan,33,nan,42,nan,nan,nan,2,3,48,nan,nan,nan
150,nan,nan,0.8701831840151676,nan,49,nan,58,nan,nan,nan,2,3,48,nan,nan,nan
200,nan,nan,0.8297181413951866,nan,66,nan,75,nan,nan,nan,2,3,48,nan,nan,nan
250,nan,nan,0.7911347941518987,nan,83,nan,92,nan,nan,nan,2,3,48,nan,nan,nan
300,nan,nan,0.756461554969033,nan,99,nan,108,nan,nan,nan,2,3,48,nan,nan,nan
350,nan,nan,0.721284767340297,nan,116,nan,125,nan,nan,nan,2,3,48,nan,nan,nan
400,nan,nan,0.687743761966123,nan,133,nan,142,nan,nan,nan,2,3,48,nan,nan,nan
450,nan,nan,0.6576018643635301,nan,149,nan,158,nan,nan,nan,2,3,48,nan,nan,nan
500,nan,nan,0.6270222255503943,nan,166,nan,175,nan,nan,nan,2,3,48,nan,nan,nan
550,nan,nan,0.5978645935176754,nan,183,nan,192,nan,nan,nan,2,3,48,nan,nan,nan
600,nan,nan,0.5716618500620193,nan,199,nan,208,nan,nan,nan,2,3,48,nan,nan,nan
650,nan,nan,0.5450785724810403,nan,216,nan,225,nan,nan,nan,2,3,48,nan,nan,nan
700,nan,nan,0.5197314638815483,nan,233,nan,242,nan,nan,nan,2,3,48,nan,nan,nan
750,nan,nan,0.4969530783381044,nan,249,nan,258,nan,nan,nan,2,3,48,nan,nan,nan
800,nan,nan,0.4738438895322545,nan,266,nan,275,nan,nan,nan,2,3,48,nan,nan,nan
850,nan,nan,0.45180931849323863,nan,283,nan,292,nan,nan,nan,2,3,48,nan,nan,nan
900,nan,nan,0.43200777180237654,nan,299,nan,308,nan,nan,nan,2,3,48,nan,nan,nan
950,nan,nan,0.4119186535347878,nan,316,nan,325,nan,nan,nan,2,3,48,nan,nan,nan
1000,nan,nan,0.39276371446283387,nan,333,nan,342,nan,nan,nan,2,3,48,nan,nan,nan
