bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,12,7,12,12,0.34143445405461286,0.082037033611272615
bv,12,9,5,11,0.25583985268365,0.0207548697655478
ghz,12,13,11,12,0.79139601776841,0.02129513348666432
hamsim_1,12,15,11,12,0.740660376686874,0.0206836051224257
qaoa_pl1,12,21,22,12,0.86854968959,0.035899257853444
qsvm,12,27,22,12,0.219892379138174,0.0189024121382473
twolocal_1,12,15,12,12,0.8735061750773,0.0318078476152935
vqe_1,12,14,11,12,0.8244757061869,0.048657496974
wstate,12,25,22,12,0.523534780589576,0.017548568237174
