num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.9733515991006008,nan,9,nan,18,nan,nan,nan,1,2,12,nan,nan,nan
22,nan,nan,0.9706290164978466,nan,10,nan,19,nan,nan,nan,1,2,12,nan,nan,nan
24,nan,nan,0.967914049289197,nan,11,nan,20,nan,nan,nan,1,2,12,nan,nan,nan
26,nan,nan,0.9652066761734693,nan,12,nan,21,nan,nan,nan,1,2,12,nan,nan,nan
28,nan,nan,0.9625068759090633,nan,13,nan,22,nan,nan,nan,1,2,12,nan,nan,nan
30,nan,nan,0.9598146273137947,nan,14,nan,23,nan,nan,nan,1,2,12,nan,nan,nan
40,nan,nan,0.9464659221362246,nan,19,nan,28,nan,nan,nan,1,2,12,nan,nan,nan
100,nan,nan,0.8701831840151676,nan,49,nan,58,nan,nan,nan,1,2,12,nan,nan,nan
150,nan,nan,0.8113323144606149,nan,74,nan,83,nan,nan,nan,1,2,12,nan,nan,nan
200,nan,nan,0.7564615549690331,nan,99,nan,108,nan,nan,nan,1,2,12,nan,nan,nan
250,nan,nan,0.7053017289550407,nan,124,nan,133,nan,nan,nan,1,2,12,nan,nan,nan
300,nan,nan,0.6576018643635297,nan,149,nan,158,nan,nan,nan,1,2,12,nan,nan,nan
350,nan,nan,0.6131279624893087,nan,174,nan,183,nan,nan,nan,1,2,12,nan,nan,nan
400,nan,nan,0.5716618500620202,nan,199,nan,208,nan,nan,nan,1,2,12,nan,nan,nan
450,nan,nan,0.5330001089650703,nan,224,nan,233,nan,nan,nan,1,2,12,nan,nan,nan
500,nan,nan,0.4969530783381042,nan,249,nan,258,nan,nan,nan,1,2,12,nan,nan,nan
550,nan,nan,0.46334392416775744,nan,274,nan,283,nan,nan,nan,1,2,12,nan,nan,nan
600,nan,nan,0.43200777180237615,nan,299,nan,308,nan,nan,nan,1,2,12,nan,nan,nan
650,nan,nan,0.4027908971351555,nan,324,nan,333,nan,nan,nan,1,2,12,nan,nan,nan
700,nan,nan,0.37554997248790273,nan,349,nan,358,nan,nan,nan,1,2,12,nan,nan,nan
750,nan,nan,0.35015136349603393,nan,374,nan,383,nan,nan,nan,1,2,12,nan,nan,nan
800,nan,nan,0.32647047354551567,nan,399,nan,408,nan,nan,nan,1,2,12,nan,nan,nan
850,nan,nan,0.3043911325458567,nan,424,nan,433,nan,nan,nan,1,2,12,nan,nan,nan
900,nan,nan,0.28380502704061916,nan,449,nan,458,nan,nan,nan,1,2,12,nan,nan,nan
950,nan,nan,0.26461116885983244,nan,474,nan,483,nan,nan,nan,1,2,12,nan,nan,nan
1000,nan,nan,0.24671539970764877,nan,499,nan,508,nan,nan,nan,1,2,12,nan,nan,nan
