num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
20,nan,nan,0.9926247102437163,nan,2,nan,11,nan,nan,nan,6,7,192,nan,nan,nan
22,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
24,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,5,6,156,nan,nan,nan
26,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
28,nan,nan,0.989848218409039,nan,3,nan,12,nan,nan,nan,6,7,192,nan,nan,nan
30,nan,nan,0.9870794927591325,nan,4,nan,13,nan,nan,nan,5,6,156,nan,nan,nan
40,nan,nan,0.9843185115710353,nan,5,nan,14,nan,nan,nan,6,7,192,nan,nan,nan
50,nan,nan,0.9788196959920605,nan,7,nan,16,nan,nan,nan,6,7,192,nan,nan,nan
60,nan,nan,0.9760818184583893,nan,8,nan,17,nan,nan,nan,6,7,192,nan,nan,nan
70,nan,nan,0.9733515991006005,nan,9,nan,18,nan,nan,nan,6,7,192,nan,nan,nan
80,nan,nan,0.967914049289197,nan,11,nan,20,nan,nan,nan,6,7,192,nan,nan,nan
90,nan,nan,0.9652066761734693,nan,12,nan,21,nan,nan,nan,6,7,192,nan,nan,nan
100,nan,nan,0.9598146273137946,nan,14,nan,23,nan,nan,nan,6,7,192,nan,nan,nan
150,nan,nan,0.9411785669799102,nan,21,nan,30,nan,nan,nan,6,7,192,nan,nan,nan
200,nan,nan,0.9229043502092343,nan,28,nan,37,nan,nan,nan,6,7,192,nan,nan,nan
250,nan,nan,0.9049849513342255,nan,35,nan,44,nan,nan,nan,6,7,192,nan,nan,nan
300,nan,nan,0.8874134810998919,nan,42,nan,51,nan,nan,nan,6,7,192,nan,nan,nan
350,nan,nan,0.870183184015167,nan,49,nan,58,nan,nan,nan,6,7,192,nan,nan,nan
400,nan,nan,0.8509006871954949,nan,57,nan,66,nan,nan,nan,6,7,192,nan,nan,nan
450,nan,nan,0.8343793339117894,nan,64,nan,73,nan,nan,nan,6,7,192,nan,nan,nan
500,nan,nan,0.8181787643792686,nan,71,nan,80,nan,nan,nan,6,7,192,nan,nan,nan
550,nan,nan,0.8022927501605142,nan,78,nan,87,nan,nan,nan,6,7,192,nan,nan,nan
600,nan,nan,0.7867151837513908,nan,85,nan,94,nan,nan,nan,6,7,192,nan,nan,nan
650,nan,nan,0.7714400762329665,nan,92,nan,101,nan,nan,nan,6,7,192,nan,nan,nan
700,nan,nan,0.7564615549690329,nan,99,nan,108,nan,nan,nan,6,7,192,nan,nan,nan
750,nan,nan,0.739699029795206,nan,107,nan,116,nan,nan,nan,6,7,192,nan,nan,nan
800,nan,nan,0.7253368025943561,nan,114,nan,123,nan,nan,nan,6,7,192,nan,nan,nan
850,nan,nan,0.7112534368788674,nan,121,nan,130,nan,nan,nan,6,7,192,nan,nan,nan
900,nan,nan,0.6974435181871158,nan,128,nan,137,nan,nan,nan,6,7,192,nan,nan,nan
950,nan,nan,0.6839017371863524,nan,135,nan,144,nan,nan,nan,6,7,192,nan,nan,nan
1000,nan,nan,0.6706228876314927,nan,142,nan,151,nan,nan,nan,6,7,192,nan,nan,nan
