bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,20,8,20,20,0.00027175779799645686,7.664178524236481e-05
bv,20,13,9,19,0.019653320312500073,0.011342059805561534
ghz,20,21,19,20,0.11027872020548013,0.039617313812808835
hamsim_1,20,23,19,20,0.0021521047762446412,0.006029693780685083
qaoa_pl1,20,27,38,20,0.0006934470012142901,0.00033497240164556365
qsvm,20,43,38,20,5.818024856474913e-05,1.6209883730074322e-05
twolocal_1,20,23,20,20,0.04393643310160964,0.10570100511754058
vqe_1,20,22,19,20,0.0897553995415845,0.008776736378391346
wstate,20,41,38,20,0.08483886718750012,0.03693690325001614
