bench_name,num_qubits,depth,num_nonlocal_gates,num_measurements,fidelity,fidelity_std
qaoa_r3,27,1.1132075471698113,0.4126984126984127,12,0,0
bv,27,0.4090909090909091,0.2222222222222222,11,0,0
ghz,27,0.8,0.2727272727272727,12,0,0
hamsim_1,27,0.5428571428571428,0.3,12,0,0
qaoa_pl1,27,0.3,0.07407407407407407,12,0,0
qsvm,27,0.5342465753424658,0.47619047619047616,12,0,0
twolocal_1,27,0.5777777777777777,0.4166666666666667,12,0,0
vqe_1,27,0.85,0.2727272727272727,12,0,0
wstate,27,0.673469387755102,0.45454545454545453,12,0,0
